Preset,Purity,Utility,Decay,Radius,X,Y,Z,Score,Spawn,SpawnDistance
"Phase 1: Early Game","Default","Cobb-Douglas","Gaussian",700,309619.59,-135482.09,4773.52,6764.5492,"Dune Desert",1019.79
"Phase 1: Early Game","Default","Cobb-Douglas","Exponential",700,67551.18,-83531.25,9832.80,1289.0736,"Northern Forest",678.60
"Phase 1: Early Game","Default","Cobb-Douglas","Power-Law",700,71819.95,-174095.70,1624.94,10476.3815,"Northern Forest",1105.90
"Phase 1: Early Game","Default","Cobb-Douglas","Linear",700,338011.12,-131702.00,5009.74,39.5880,"Dune Desert",1254.46
"Phase 1: Early Game","Default","Leontief","Gaussian",700,333239.24,-135644.08,4505.59,9.4797,"Dune Desert",1192.58
"Phase 1: Early Game","Default","Leontief","Exponential",700,344444.19,-125369.72,5004.63,6.7171,"Dune Desert",1344.28
"Phase 1: Early Game","Default","Leontief","Power-Law",700,343124.62,-120796.38,5535.79,8.4169,"Dune Desert",1363.52
"Phase 1: Early Game","Default","Leontief","Linear",700,351304.30,-194094.49,4345.67,2.2534,"Dune Desert",1124.35
"Phase 1: Early Game","Default","Linear","Gaussian",700,313958.77,-133128.46,4859.01,38.4910,"Dune Desert",1066.73
"Phase 1: Early Game","Default","Linear","Exponential",700,328736.98,-133715.48,4758.02,27.6572,"Dune Desert",1170.20
"Phase 1: Early Game","Default","Linear","Power-Law",700,328731.26,-133715.88,4758.06,40.2618,"Dune Desert",1170.15
"Phase 1: Early Game","Default","Linear","Linear",700,323404.08,-145694.08,4167.23,11.6862,"Dune Desert",1053.16
"Phase 1: Early Game","Normal","Cobb-Douglas","Gaussian",700,307319.77,-138278.27,4524.33,4124.5006,"Dune Desert",983.66
"Phase 1: Early Game","Normal","Cobb-Douglas","Exponential",700,302655.40,-129938.90,4595.21,1539.2969,"Dune Desert",1016.64
"Phase 1: Early Game","Normal","Cobb-Douglas","Power-Law",700,319014.55,-142193.99,4348.04,8255.2552,"Dune Desert",1041.20
"Phase 1: Early Game","Normal","Cobb-Douglas","Linear",700,-47650.48,275913.11,-2503.18,33.7068,"Grass Fields",719.53
"Phase 1: Early Game","Normal","Leontief","Gaussian",700,310112.76,-131942.46,4871.52,7.1578,"Dune Desert",1049.23
